,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
3610,Joe Chappelle,Donald Pleasence,Kim Darby,Mitchell Ryan,Horror Thriller,halloween: the curse of michael myers,Donald Pleasence Kim Darby Mitchell Ryan Joe Chappelle Horror Thriller
3611,Alfonso Cuarón,Maribel Verdú,Daniel Giménez Cacho,María Aura,Adventure Comedy Drama Romance,y tu mamá también,Maribel Verdú Daniel Giménez Cacho María Aura Alfonso Cuarón Adventure Comedy Drama Romance
3612,Edgar Wright,Peter Serafinowicz,Dylan Moran,Rafe Spall,Comedy Horror,shaun of the dead,Peter Serafinowicz Dylan Moran Rafe Spall Edgar Wright Comedy Horror
3613,Mickey Liddell,Jessica Lowndes,Randy Wayne,Haley Bennett,Drama Horror Thriller,the haunting of molly hartley,Jessica Lowndes Randy Wayne Haley Bennett Mickey Liddell Drama Horror Thriller
3614,John Sayles,Matthew McConaughey,Clifton James,Miriam Colon,Drama Mystery,lone star,Matthew McConaughey Clifton James Miriam Colon John Sayles Drama Mystery
3615,Dwight H. Little,Donald Pleasence,Kathleen Kinmont,Ellie Cornell,Horror Thriller,halloween 4: the return of michael myers,Donald Pleasence Kathleen Kinmont Ellie Cornell Dwight H. Little Horror Thriller
3616,Fred Walton,Thomas F. Wilson,Deborah Foreman,Clayton Rohner,Horror Mystery,april fool's day,Thomas F. Wilson Deborah Foreman Clayton Rohner Fred Walton Horror Mystery
3617,Barry Levinson,Steve Guttenberg,Daniel Stern,Ellen Barkin,Comedy Drama,diner,Steve Guttenberg Daniel Stern Ellen Barkin Barry Levinson Comedy Drama
3618,Steve Carver,David Carradine,William Sanderson,Robert Beltran,Action Crime Drama Thriller Western,lone wolf mcquade,David Carradine William Sanderson Robert Beltran Steve Carver Action Crime Drama Thriller Western
3619,Gonzalo López-Gallego,Warren Christie,Ryan Robbins,Andrew Airlie,Horror Mystery Sci-Fi Thriller,apollo 18,Warren Christie Ryan Robbins Andrew Airlie Gonzalo López-Gallego Horror Mystery Sci-Fi Thriller
3620,Christine Jeffs,Clifton Collins Jr.,Mary Lynn Rajskub,Paul Dooley,Comedy Drama,sunshine cleaning,Clifton Collins Jr. Mary Lynn Rajskub Paul Dooley Christine Jeffs Comedy Drama
3621,John Erick Dowdle,Sterling Jerins,Claire Geare,Sahajak Boonthanakit,Action Thriller,no escape,Sterling Jerins Claire Geare Sahajak Boonthanakit John Erick Dowdle Action Thriller
3622,Don Coscarelli,Vanna Bonta,John Amos,Rip Torn,Action Adventure Fantasy,the beastmaster,Vanna Bonta John Amos Rip Torn Don Coscarelli Action Adventure Fantasy
3623,King Vidor,Gina Lollobrigida,George Sanders,Finlay Currie,Drama History Romance War,solomon and sheba,Gina Lollobrigida George Sanders Finlay Currie King Vidor Drama History Romance War
3624,Michael Tiddes,Fred Willard,Mike Epps,Russell Peters,Comedy,fifty shades of black,Fred Willard Mike Epps Russell Peters Michael Tiddes Comedy
3625,Bill Duke,Eddie Cibrian,Jenifer Lewis,Wood Harris,Drama Romance,not easily broken,Eddie Cibrian Jenifer Lewis Wood Harris Bill Duke Drama Romance
3626,Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,Drama Romance War,a farewell to arms,Gary Cooper Helen Hayes Adolphe Menjou Frank Borzage Drama Romance War
3627,Bille Woodruff,Donald Faison,Brandy Norwood,Lauren London,Comedy Romance,the perfect match,Donald Faison Brandy Norwood Lauren London Bille Woodruff Comedy Romance
3628,Mamoru Hosoda,Lara Jill Miller,Colleen O'Shaughnessey,Mona Marshall,Action Adventure Animation Family Sci-Fi,digimon: the movie,Lara Jill Miller Colleen O'Shaughnessey Mona Marshall Mamoru Hosoda Action Adventure Animation Family Sci-Fi
3629,Brian Dannelly,Macaulay Culkin,Patrick Fugit,Eva Amurri Martino,Comedy Drama,saved!,Macaulay Culkin Patrick Fugit Eva Amurri Martino Brian Dannelly Comedy Drama
3630,Denys Arcand,Marie-Josée Croze,Stéphane Rousseau,Marina Hands,Comedy Crime Drama Mystery Romance,the barbarian invasions,Marie-Josée Croze Stéphane Rousseau Marina Hands Denys Arcand Comedy Crime Drama Mystery Romance
3631,Richard Lester,Robert Shaw,Denholm Elliott,Nicol Williamson,Adventure Drama Romance,robin and marian,Robert Shaw Denholm Elliott Nicol Williamson Richard Lester Adventure Drama Romance
3632,J.S. Cardone,Brendan Fehr,Kerr Smith,Izabella Miko,Horror Thriller,the forsaken,Brendan Fehr Kerr Smith Izabella Miko J.S. Cardone Horror Thriller
3633,Guy Hamilton,Harrison Ford,Carl Weathers,Franco Nero,Action Drama War,force 10 from navarone,Harrison Ford Carl Weathers Franco Nero Guy Hamilton Action Drama War
3634,Jay Levey,Fran Drescher,Gedde Watanabe,Michael Richards,Comedy Drama,uhf,Fran Drescher Gedde Watanabe Michael Richards Jay Levey Comedy Drama
3635,Nicholaus Goossen,Linda Cardellini,Joel David Moore,Shirley Jones,Comedy,grandma's boy,Linda Cardellini Joel David Moore Shirley Jones Nicholaus Goossen Comedy
3636,Tamara Jenkins,Natasha Lyonne,Kevin Corrigan,Jessica Walter,Comedy Drama,slums of beverly hills,Natasha Lyonne Kevin Corrigan Jessica Walter Tamara Jenkins Comedy Drama
3637,Sergio Leone,Claudia Cardinale,Woody Strode,Jack Elam,Western,once upon a time in the west,Claudia Cardinale Woody Strode Jack Elam Sergio Leone Western
3638,Jon Favreau,Jon Favreau,Faizon Love,Jonathan Silverman,Comedy Crime Drama Thriller,made,Jon Favreau Faizon Love Jonathan Silverman Jon Favreau Comedy Crime Drama Thriller
3639,Duncan Jones,Kevin Spacey,Matt Berry,Benedict Wong,Drama Mystery Sci-Fi,moon,Kevin Spacey Matt Berry Benedict Wong Duncan Jones Drama Mystery Sci-Fi
3640,Scott Marshall,Miranda Cosgrove,Jami Gertz,Carter Jenkins,Comedy,keeping up with the steins,Miranda Cosgrove Jami Gertz Carter Jenkins Scott Marshall Comedy
3641,Ronan Chapalain,Norbert Ferrer,Guillaume Denaiffe,Chloe Hollings,Documentary,sea rex 3d: journey to a prehistoric world,Norbert Ferrer Guillaume Denaiffe Chloe Hollings Ronan Chapalain Documentary
3642,Atom Egoyan,Bruce Greenwood,Sarah Polley,Simon Baker,Drama,the sweet hereafter,Bruce Greenwood Sarah Polley Simon Baker Atom Egoyan Drama
3643,Xavier Beauvois,Lambert Wilson,Michael Lonsdale,Olivier Rabourdin,Drama,of gods and men,Lambert Wilson Michael Lonsdale Olivier Rabourdin Xavier Beauvois Drama
3644,Randall Miller,Alan Rickman,Freddy Rodríguez,Greg Collins,Comedy Drama,bottle shock,Alan Rickman Freddy Rodríguez Greg Collins Randall Miller Comedy Drama
3645,Jerry Belson,Cassandra Peterson,Tim Thomerson,Bess Armstrong,Comedy Music Sci-Fi,jekyll and hyde... together again,Cassandra Peterson Tim Thomerson Bess Armstrong Jerry Belson Comedy Music Sci-Fi
3646,Peter Jackson,Kate Winslet,Jed Brophy,Liz Mullane,Biography Crime Drama Romance Thriller,heavenly creatures,Kate Winslet Jed Brophy Liz Mullane Peter Jackson Biography Crime Drama Romance Thriller
3647,Michael Polish,Hayden Christensen,Bobby Batson,Cynthia Barrett,Drama,90 minutes in heaven,Hayden Christensen Bobby Batson Cynthia Barrett Michael Polish Drama
3648,Dan Rush,Will Ferrell,Scott Takeda,Stephen Root,Comedy Drama,everything must go,Will Ferrell Scott Takeda Stephen Root Dan Rush Comedy Drama
3649,Jake Kasdan,Kim Dickens,Ryan O'Neal,Angela Featherstone,Comedy Crime Drama Mystery Thriller,zero effect,Kim Dickens Ryan O'Neal Angela Featherstone Jake Kasdan Comedy Crime Drama Mystery Thriller
3650,Brad Anderson,Christian Bale,Jennifer Jason Leigh,Reg E. Cathey,Drama Thriller,the machinist,Christian Bale Jennifer Jason Leigh Reg E. Cathey Brad Anderson Drama Thriller
3651,Paul Schrader,Dana Delany,Jane Adams,David Clennon,Crime Drama,light sleeper,Dana Delany Jane Adams David Clennon Paul Schrader Crime Drama
3652,Michael Cuesta,Jeremy Renner,Paz Vega,Robert Pralgo,Biography Crime Drama Mystery Thriller,kill the messenger,Jeremy Renner Paz Vega Robert Pralgo Michael Cuesta Biography Crime Drama Mystery Thriller
3653,John Cameron Mitchell,Dianne Wiest,Jon Tenney,Tammy Blanchard,Drama,rabbit hole,Dianne Wiest Jon Tenney Tammy Blanchard John Cameron Mitchell Drama
3654,Fenton Bailey,Macaulay Culkin,Mia Kirshner,Marilyn Manson,Biography Crime Drama Thriller,party monster,Macaulay Culkin Mia Kirshner Marilyn Manson Fenton Bailey Biography Crime Drama Thriller
3655,Jeremy Saulnier,Alia Shawkat,Mark Webber,Joe Cole,Crime Horror Music Thriller,green room,Alia Shawkat Mark Webber Joe Cole Jeremy Saulnier Crime Horror Music Thriller
3656,Billy Kent,Liza Minnelli,Tim Russ,Winter Ave Zoli,Comedy Drama Romance,the oh in ohio,Liza Minnelli Tim Russ Winter Ave Zoli Billy Kent Comedy Drama Romance
3657,James Manera,Joaquim de Almeida,Greg Germann,Kristoffer Polaha,Drama Mystery Sci-Fi,atlas shrugged: who is john galt?,Joaquim de Almeida Greg Germann Kristoffer Polaha James Manera Drama Mystery Sci-Fi
3658,Wes Anderson,Andrew Wilson,Darryl Cox,Lumi Cavazos,Comedy Crime Drama,bottle rocket,Andrew Wilson Darryl Cox Lumi Cavazos Wes Anderson Comedy Crime Drama
3659,Kevin Spacey,Viggo Mortensen,Joe Mantegna,Faye Dunaway,Crime Drama Thriller,albino alligator,Viggo Mortensen Joe Mantegna Faye Dunaway Kevin Spacey Crime Drama Thriller
3660,Feroz Abbas Khan,Akshaye Khanna,Bhoomika Chawla,Darshan Jariwala,Biography Drama History,"gandhi, my father",Akshaye Khanna Bhoomika Chawla Darshan Jariwala Feroz Abbas Khan Biography Drama History
3661,Errol Morris,Jeffrey Frost,Megan Ambuhl Graner,Ken Davis,Crime Documentary War,standard operating procedure,Jeffrey Frost Megan Ambuhl Graner Ken Davis Errol Morris Crime Documentary War
3662,Eli Craig,Katrina Bowden,Tyler Labine,Chelan Simmons,Comedy Horror,tucker and dale vs evil,Katrina Bowden Tyler Labine Chelan Simmons Eli Craig Comedy Horror
3663,Nicholas Fackler,Adam Scott,Ellen Burstyn,Martin Landau,Drama Romance,"lovely, still",Adam Scott Ellen Burstyn Martin Landau Nicholas Fackler Drama Romance
3664,Richard Wallace,Judith Anderson,Paul Fix,Laraine Day,Adventure Drama Romance,tycoon,Judith Anderson Paul Fix Laraine Day Richard Wallace Adventure Drama Romance
3665,Morgan J. Freeman,Ethan Suplee,John Heard,Sara Gilbert,Drama,desert blue,Ethan Suplee John Heard Sara Gilbert Morgan J. Freeman Drama
3666,Matthew Hastings,Meghan Ory,Marc Trottier,Corey Sevier,Comedy Horror Sci-Fi,decoys,Meghan Ory Marc Trottier Corey Sevier Matthew Hastings Comedy Horror Sci-Fi
3667,M. Night Shyamalan,Ocean James,Patch Darragh,Olivia DeJonge,Horror Thriller,the visit,Ocean James Patch Darragh Olivia DeJonge M. Night Shyamalan Horror Thriller
3668,Brian De Palma,Mike Figueroa,Daniel Stewart Sherman,Kel O'Neill,Crime Thriller War,redacted,Mike Figueroa Daniel Stewart Sherman Kel O'Neill Brian De Palma Crime Thriller War
3669,Klaus Menzel,Adam Garcia,Jacqueline Bisset,Alice Evans,Mystery Romance Thriller,fascination,Adam Garcia Jacqueline Bisset Alice Evans Klaus Menzel Mystery Romance Thriller
3670,Oren Peli,Glenn Campbell,Sandra Staggs,Jelena Nik,Horror Sci-Fi Thriller,area 51,Glenn Campbell Sandra Staggs Jelena Nik Oren Peli Horror Sci-Fi Thriller
3671,Jaume Balagueró,Luis Tosar,Tony Corvillo,Marta Etura,Drama Horror Thriller,sleep tight,Luis Tosar Tony Corvillo Marta Etura Jaume Balagueró Drama Horror Thriller
3672,Paul Andrew Williams,Dave Legeno,Doug Bradley,Georgia Groome,Comedy Crime Horror Thriller,the cottage,Dave Legeno Doug Bradley Georgia Groome Paul Andrew Williams Comedy Crime Horror Thriller
3673,Stephen Herek,Henry Ian Cusick,Callum Blue,Shenae Grimes-Beech,Comedy Drama Fantasy,dead like me: life after death,Henry Ian Cusick Callum Blue Shenae Grimes-Beech Stephen Herek Comedy Drama Fantasy
3674,Bob Saget,Alyson Hannigan,John Stamos,Jim Belushi,Animation Comedy,farce of the penguins,Alyson Hannigan John Stamos Jim Belushi Bob Saget Animation Comedy
3675,Jim Amatulli,Heather Locklear,Patricia Neal,Katie Leclerc,Drama Family Music,flying by,Heather Locklear Patricia Neal Katie Leclerc Jim Amatulli Drama Family Music
3676,unknown,Corbin Bernsen,Dulé Hill,Timothy Omundson,Comedy Crime Mystery,psych            ,Corbin Bernsen Dulé Hill Timothy Omundson unknown Comedy Crime Mystery
3677,William H. Macy,Billy Crudup,Felicity Huffman,David Adam Flannery,Comedy Drama Music,rudderless,Billy Crudup Felicity Huffman David Adam Flannery William H. Macy Comedy Drama Music
3678,Barrett Esposito,Chazz Palminteri,Cyndi Lauper,Danny Aiello,Animation Family,henry & me,Chazz Palminteri Cyndi Lauper Danny Aiello Barrett Esposito Animation Family
3679,Mitch Davis,Gary Cole,Jon Heder,Cheryl Hines,Comedy,christmas eve,Gary Cole Jon Heder Cheryl Hines Mitch Davis Comedy
3680,Eric Bross,Teri Polo,Esai Morales,Nicholas Gonzalez,Crime Drama Thriller,we have your husband,Teri Polo Esai Morales Nicholas Gonzalez Eric Bross Crime Drama Thriller
3681,Paul Schrader,Nicolas Cage,Irène Jacob,Tomiwa Edun,Drama Thriller,dying of the light,Nicolas Cage Irène Jacob Tomiwa Edun Paul Schrader Drama Thriller
3682,Vicky Jewson,James Frain,Sofia Black-D'Elia,Lisa Kay,Action Drama Thriller War,born of war,James Frain Sofia Black-D'Elia Lisa Kay Vicky Jewson Action Drama Thriller War
3683,Peter Hyams,David Huddleston,Sam Waterston,Hal Holbrook,Action Sci-Fi Thriller,capricorn one,David Huddleston Sam Waterston Hal Holbrook Peter Hyams Action Sci-Fi Thriller
3684,Marc Bennett,Michael Rapaport,Natasha Henstridge,Costas Mandylor,Comedy Drama,should've been romeo,Michael Rapaport Natasha Henstridge Costas Mandylor Marc Bennett Comedy Drama
3685,Mike Mayhall,David Raizor,Cody Howard,Martin Kove,Family,running forever,David Raizor Cody Howard Martin Kove Mike Mayhall Family
3686,Kevin Smith,Johnny Depp,Haley Joel Osment,Natasha Lyonne,Comedy Fantasy Horror Thriller,yoga hosers,Johnny Depp Haley Joel Osment Natasha Lyonne Kevin Smith Comedy Fantasy Horror Thriller
3687,Stanton Barrett,Mikal Vega,Michael Dudikoff,Ed Quinn,Action Horror,navy seals vs. zombies,Mikal Vega Michael Dudikoff Ed Quinn Stanton Barrett Action Horror
3688,Jirí Menzel,Julia Jentsch,Ivan Barnev,Milan Lasica,Comedy Drama Romance War,i served the king of england,Julia Jentsch Ivan Barnev Milan Lasica Jirí Menzel Comedy Drama Romance War
3689,Fatih Akin,Udo Kier,Moritz Bleibtreu,Birol Ünel,Comedy Drama,soul kitchen,Udo Kier Moritz Bleibtreu Birol Ünel Fatih Akin Comedy Drama
3690,Billy Bob Thornton,Robert Duvall,Dwight Yoakam,J.T. Walsh,Drama,sling blade,Robert Duvall Dwight Yoakam J.T. Walsh Billy Bob Thornton Drama
3691,Nick Murphy,Isaac Hempstead Wright,Imelda Staunton,Joseph Mawle,Horror Thriller,the awakening,Isaac Hempstead Wright Imelda Staunton Joseph Mawle Nick Murphy Horror Thriller
3692,Eli Roth,Jay Hernandez,Takashi Miike,Rick Hoffman,Horror,hostel,Jay Hernandez Takashi Miike Rick Hoffman Eli Roth Horror
3693,Michael Winterbottom,Steve Coogan,Shirley Henderson,Dylan Moran,Comedy Drama,tristram shandy: a cock and bull story,Steve Coogan Shirley Henderson Dylan Moran Michael Winterbottom Comedy Drama
3694,Jeff Nichols,Katy Mixon,Shea Whigham,Robert Longstreet,Drama Thriller,take shelter,Katy Mixon Shea Whigham Robert Longstreet Jeff Nichols Drama Thriller
3695,Frank LaLoggia,Alex Rocco,Lukas Haas,Katherine Helmond,Fantasy Horror Mystery Thriller,lady in white,Alex Rocco Lukas Haas Katherine Helmond Frank LaLoggia Fantasy Horror Mystery Thriller
3696,Jeremy Brock,Rupert Grint,Julie Walters,Tamsin Egerton,Comedy Drama,driving lessons,Rupert Grint Julie Walters Tamsin Egerton Jeremy Brock Comedy Drama
3697,Scott Foley,Donald Faison,Greg Grunberg,Dagmara Dominczyk,Comedy Crime,let's kill ward's wife,Donald Faison Greg Grunberg Dagmara Dominczyk Scott Foley Comedy Crime
3698,Tobe Hooper,Bill Johnson,Lou Perryman,Jim Siedow,Comedy Horror,the texas chainsaw massacre 2,Bill Johnson Lou Perryman Jim Siedow Tobe Hooper Comedy Horror
3699,Sam Peckinpah,James Coburn,Bob Dylan,Jason Robards,Biography Drama Romance Western,pat garrett & billy the kid,James Coburn Bob Dylan Jason Robards Sam Peckinpah Biography Drama Romance Western
3700,Nicolas Winding Refn,Ryan Gosling,Kristin Scott Thomas,Yayaying Rhatha Phongam,Crime Drama,only god forgives,Ryan Gosling Kristin Scott Thomas Yayaying Rhatha Phongam Nicolas Winding Refn Crime Drama
3701,Christophe Ali,Denis Lavant,Isild Le Besco,Emmanuelle Bercot,Drama,camping sauvage,Denis Lavant Isild Le Besco Emmanuelle Bercot Christophe Ali Drama
3702,Gabriela Tagliavini,Maria Conchita Alonso,Kate del Castillo,Camryn Manheim,Comedy,without men,Maria Conchita Alonso Kate del Castillo Camryn Manheim Gabriela Tagliavini Comedy
3703,Shekar,Bhama,Diganth,Dileep Raj,Comedy Romance,barfi,Bhama Diganth Dileep Raj Shekar Comedy Romance
3704,Shona Auerbach,Gerard Butler,Sharon Small,Jack McElhone,Drama Romance,dear frankie,Gerard Butler Sharon Small Jack McElhone Shona Auerbach Drama Romance
3705,Leonard Farlinger,Keith Carradine,Gary Farmer,Stephen McHattie,Western,all hat,Keith Carradine Gary Farmer Stephen McHattie Leonard Farlinger Western
3706,Michel Leclerc,Sara Forestier,Jacques Gamblin,Zinedine Soualem,Comedy Drama Romance,the names of love,Sara Forestier Jacques Gamblin Zinedine Soualem Michel Leclerc Comedy Drama Romance
3707,Analeine Cal y Mayor,Zoë Kravitz,Douglas Smith,Kim Ly,Comedy Drama,treading water,Zoë Kravitz Douglas Smith Kim Ly Analeine Cal y Mayor Comedy Drama
3708,Tom Kalin,Eddie Redmayne,Elena Anaya,Stephen Dillane,Drama,savage grace,Eddie Redmayne Elena Anaya Stephen Dillane Tom Kalin Drama
3709,Robert Sarkies,William Kircher,Matthew Sunderland,Paul Glover,Crime Drama,out of the blue,William Kircher Matthew Sunderland Paul Glover Robert Sarkies Crime Drama
3710,Hugh Wilson,Steve Guttenberg,Bubba Smith,Michael Winslow,Comedy,police academy,Steve Guttenberg Bubba Smith Michael Winslow Hugh Wilson Comedy
3711,Randal Kleiser,Brooke Shields,Christopher Atkins,Leo McKern,Adventure Drama Romance,the blue lagoon,Brooke Shields Christopher Atkins Leo McKern Randal Kleiser Adventure Drama Romance
3712,Mike Newell,Kristin Scott Thomas,James Fleet,Simon Callow,Comedy Drama Romance,four weddings and a funeral,Kristin Scott Thomas James Fleet Simon Callow Mike Newell Comedy Drama Romance
3713,Amy Heckerling,Jennifer Jason Leigh,Judge Reinhold,Vincent Schiavelli,Comedy Drama,fast times at ridgemont high,Jennifer Jason Leigh Judge Reinhold Vincent Schiavelli Amy Heckerling Comedy Drama
3714,John Huston,Royal Dano,Richard Basehart,James Robertson Justice,Adventure Drama,moby dick,Royal Dano Richard Basehart James Robertson Justice John Huston Adventure Drama
3715,Spike Lee,Philip Seymour Hoffman,Rosario Dawson,Aaron Stanford,Drama,25th hour,Philip Seymour Hoffman Rosario Dawson Aaron Stanford Spike Lee Drama
3716,unknown,Dan Fogler,Indiana Evans,KaDee Strickland,Crime Drama,secrets and lies            ,Dan Fogler Indiana Evans KaDee Strickland unknown Crime Drama
3717,Lana Wachowski,Christopher Meloni,Kevin Michael Richardson,Peter Spellos,Crime Drama Romance Thriller,bound,Christopher Meloni Kevin Michael Richardson Peter Spellos Lana Wachowski Crime Drama Romance Thriller
3718,Darren Aronofsky,Ellen Burstyn,Mark Margolis,Louise Lasser,Drama,requiem for a dream,Ellen Burstyn Mark Margolis Louise Lasser Darren Aronofsky Drama
3719,Walter Lang,Dana Andrews,Jeanne Crain,Frank McHugh,Musical Romance,state fair,Dana Andrews Jeanne Crain Frank McHugh Walter Lang Musical Romance
3720,Carlos Saura,Mía Maestro,Juan Luis Galiardo,Miguel Ángel Solá,Drama Musical,tango,Mía Maestro Juan Luis Galiardo Miguel Ángel Solá Carlos Saura Drama Musical
3721,Oliver Stone,Jim Belushi,John Savage,Juan Fernández,Drama History Thriller War,salvador,Jim Belushi John Savage Juan Fernández Oliver Stone Drama History Thriller War
3722,Andrew Erwin,Alex Kendrick,Sarah Drew,Patricia Heaton,Comedy,moms' night out,Alex Kendrick Sarah Drew Patricia Heaton Andrew Erwin Comedy
3723,Richard Kelly,Jake Gyllenhaal,Mary McDonnell,James Duval,Drama Sci-Fi Thriller,donnie darko,Jake Gyllenhaal Mary McDonnell James Duval Richard Kelly Drama Sci-Fi Thriller
3724,Beto Gómez,Jaime Camil,Gerardo Taracena,Joaquín Cosio,Adventure Comedy Western,saving private perez,Jaime Camil Gerardo Taracena Joaquín Cosio Beto Gómez Adventure Comedy Western
3725,Mike van Diem,Jan Decleir,Fedja van Huêt,Hans Kesting,Crime Drama Mystery,character,Jan Decleir Fedja van Huêt Hans Kesting Mike van Diem Crime Drama Mystery
3726,Jonas Åkerlund,Patrick Fugit,Nicholas Gonzalez,Debbie Harry,Comedy Crime Drama,spun,Patrick Fugit Nicholas Gonzalez Debbie Harry Jonas Åkerlund Comedy Crime Drama
3727,Todd Solondz,Rich Pecci,Shirley Henderson,Charlotte Rampling,Comedy Drama,life during wartime,Rich Pecci Shirley Henderson Charlotte Rampling Todd Solondz Comedy Drama
3728,Chan-wook Park,Min-sik Choi,Yeong-ae Lee,Hye-jeong Kang,Crime Drama,lady vengeance,Min-sik Choi Yeong-ae Lee Hye-jeong Kang Chan-wook Park Crime Drama
3729,René Féret,Nicolas Giraud,Clovis Fouin,Marie Féret,Biography Drama Music Romance,mozart's sister,Nicolas Giraud Clovis Fouin Marie Féret René Féret Biography Drama Music Romance
3730,Barry Skolnick,Jason Statham,Jason Flemyng,Danny Dyer,Comedy Drama Sport,mean machine,Jason Statham Jason Flemyng Danny Dyer Barry Skolnick Comedy Drama Sport
3731,Johnnie To,Simon Yam,Anthony Chau-Sang Wong,Josie Ho,Action Crime Thriller,exiled,Simon Yam Anthony Chau-Sang Wong Josie Ho Johnnie To Action Crime Thriller
3732,Mateo Gil,Sam Shepard,Dominique McElligott,Stephen Rea,Action Adventure Western,blackthorn,Sam Shepard Dominique McElligott Stephen Rea Mateo Gil Action Adventure Western
3733,Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,Lyubov Agapova,Crime Drama,lilya 4-ever,Oksana Akinshina Artyom Bogucharskiy Lyubov Agapova Lukas Moodysson Crime Drama
3734,Agnieszka Wojtowicz-Vosloo,Liam Neeson,Josh Charles,Chandler Canterbury,Drama Horror Mystery Thriller,after.life,Liam Neeson Josh Charles Chandler Canterbury Agnieszka Wojtowicz-Vosloo Drama Horror Mystery Thriller
3735,Kabir Sadanand,Jimmy Shergill,Sana Saeed,Dimple Kapadia,Drama Thriller,fugly,Jimmy Shergill Sana Saeed Dimple Kapadia Kabir Sadanand Drama Thriller
3736,Milos Forman,Scatman Crothers,Michael Berryman,Louise Fletcher,Drama,one flew over the cuckoo's nest,Scatman Crothers Michael Berryman Louise Fletcher Milos Forman Drama
3737,Peter DeLuise,Katherine McNamara,Dove Cameron,Braeden Lemasters,Comedy,r.l. stine's monsterville: the cabinet of souls,Katherine McNamara Dove Cameron Braeden Lemasters Peter DeLuise Comedy
3738,Mel Brooks,Sid Caesar,Dom DeLuise,Bernadette Peters,Comedy Romance,silent movie,Sid Caesar Dom DeLuise Bernadette Peters Mel Brooks Comedy Romance
3739,Raja Menon,Nimrat Kaur,Sameer Ali Khan,Purab Kohli,Action Drama History Thriller War,airlift,Nimrat Kaur Sameer Ali Khan Purab Kohli Raja Menon Action Drama History Thriller War
3740,unknown,Zack Ward,Jonathan Crombie,Megan Follows,Drama Family,anne of green gables            ,Zack Ward Jonathan Crombie Megan Follows unknown Drama Family
3741,Ernie Barbarash,Michael Jai White,Michael J. Morris,Lateef Crowder,Action Adventure,falcon rising,Michael Jai White Michael J. Morris Lateef Crowder Ernie Barbarash Action Adventure
3742,Nick Love,Hayley Atwell,Ray Winstone,Alan Ford,Action Crime Drama,the sweeney,Hayley Atwell Ray Winstone Alan Ford Nick Love Action Crime Drama
3743,Jonathan Glazer,Ray Winstone,James Fox,Amanda Redman,Crime Thriller,sexy beast,Ray Winstone James Fox Amanda Redman Jonathan Glazer Crime Thriller
3744,Daniel Espinosa,Fabian Bolin,Fares Fares,Matias Varela,Action Crime Drama Thriller,easy money,Fabian Bolin Fares Fares Matias Varela Daniel Espinosa Action Crime Drama Thriller
3745,Niki Caro,Keisha Castle-Hughes,Rawiri Paratene,Tammy Davis,Drama Family,whale rider,Keisha Castle-Hughes Rawiri Paratene Tammy Davis Niki Caro Drama Family
3746,R. Balki,Vidya Balan,Abhishek Bachchan,Paresh Rawal,Comedy Drama,paa,Vidya Balan Abhishek Bachchan Paresh Rawal R. Balki Comedy Drama
3747,Ivan Engler,Yangzom Brauen,Claude-Oliver Rudolph,Anna Katharina Schwabroh,Mystery Sci-Fi Thriller,cargo,Yangzom Brauen Claude-Oliver Rudolph Anna Katharina Schwabroh Ivan Engler Mystery Sci-Fi Thriller
3748,Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy,pan,Hugh Jackman Cara Delevingne Nonso Anozie Joe Wright Adventure Family Fantasy
3749,Kenny Ortega,Lucas Grabeel,Corbin Bleu,Olesya Rulin,Comedy Drama Family Music Musical Romance,high school musical,Lucas Grabeel Corbin Bleu Olesya Rulin Kenny Ortega Comedy Drama Family Music Musical Romance
3750,unknown,Dorian Missick,Daniella Alonso,Ellen Barkin,Crime Drama,animal kingdom            ,Dorian Missick Daniella Alonso Ellen Barkin unknown Crime Drama
3751,Richard Kwietniowski,Jason Priestley,Maury Chaykin,Danny Webb,Comedy Drama,love and death on long island,Jason Priestley Maury Chaykin Danny Webb Richard Kwietniowski Comedy Drama
3752,Timur Bekmambetov,Konstantin Khabenskiy,Aleksey Chadov,Zhanna Friske,Fantasy Thriller,night watch,Konstantin Khabenskiy Aleksey Chadov Zhanna Friske Timur Bekmambetov Fantasy Thriller
3753,Neil Jordan,Jim Broadbent,Miranda Richardson,Stephen Rea,Crime Drama Romance Thriller,the crying game,Jim Broadbent Miranda Richardson Stephen Rea Neil Jordan Crime Drama Romance Thriller
3754,Bob Clark,Art Hindle,Susan Clark,Tony Ganios,Comedy,porky's,Art Hindle Susan Clark Tony Ganios Bob Clark Comedy
3755,George A. Romero,Julian Richings,Shawn Roberts,Kathleen Munroe,Horror,survival of the dead,Julian Richings Shawn Roberts Kathleen Munroe George A. Romero Horror
3756,Sofia Coppola,Scarlett Johansson,Bill Murray,Catherine Lambert,Drama,lost in translation,Scarlett Johansson Bill Murray Catherine Lambert Sofia Coppola Drama
3757,Woody Allen,Woody Allen,Carol Kane,Shelley Duvall,Comedy Romance,annie hall,Woody Allen Carol Kane Shelley Duvall Woody Allen Comedy Romance
